,title,publisher,date,url
52,"SKT, 현대차 함께 모빌리티 스타트업 키운다",키뉴스,2019.04.16.,http://www.kinews.net/news/articleView.html?idxno=209309
53,"SKT∙현대차, 모빌리티 스타트업 키운다",비지니스코리아,2019.04.16.,http://www.businesskorea.co.kr/news/articleView.html?idxno=30947
54,"SKT, 현대차와 모빌리티 스타트업 키운다",충남일보,2019.04.16.,http://www.chungnamilbo.com/news/articleView.html?idxno=492875
55,"SKT, 디스플레이 탑재 AI 스피커 ‘누구 네모’ 출시",뉴스웨이,2019.04.18.,http://www.newsway.co.kr/news/view?tp=1&ud=2019041809173263877
56,"SKT, 현대차 함께 모빌리티 스타트업 육성",서울파이낸스,2019.04.16.,http://www.seoulfn.com/news/articleView.html?idxno=339919
57,"SKT·현대차, 모빌리티 스타트업 육성 맞손",IT조선,2019.04.16.,http://it.chosun.com/site/data/html_dir/2019/04/16/2019041601088.html
58,"SKT·현대기아차, 모빌리티 스타트업 함께 키운다",데이터넷,2019.04.16.,http://www.datanet.co.kr/news/articleView.html?idxno=132994
59,"SKT-현대기아차, 모빌리티 스타트업 키운다",세계파이낸스,2019.04.16.,http://www.segyefn.com/newsView/20190416001843?OutUrl=naver
60,"팟캐스트 팟프리카, SKT 누구로 듣는다",ZDNet Korea,2019.03.04.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002157346
61,“AI 스피커의 진화”…SKT. ‘보이는 AI 스피커’ 출시,헤럴드경제,2019.04.18.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=016&aid=0001524684
62,"SKT, 지자체·사회적 기업과 'ICT 돌봄 서비스' 시행",뉴스1,7일 전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=421&aid=0003950332
63,"SKT, 현대·기아차와 모빌리티 스타트업 공동 육성",이데일리,2019.04.16.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=018&aid=0004354973
64,"[영상] SKT, 보이는 AI 스피커 '누구 네모' 공개",뉴스핌,2019.04.18.,http://www.newspim.com/news/view/20190418000861
65,"SKT, AI스피커로 통화를...'누구 콜' 출시",블로터언론사 선정,2019.04.07.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=293&aid=0000023881
66,"SKT, 독거 어르신 돌봄 등 사회적 가치 창출 본격 나선다..관련 업무 일자리도 창출",한국정경신문,6일 전,http://kpenews.com/View.aspx?No=31913
67,"SKT, 보이는 AI 스피커 ‘누구 네모’ 출시",공유경제신문,2019.04.18.,http://www.seconomy.kr/view.php?ud=201904181633194582798818e98b_2
68,"SKT, 현대차 함께 모빌리티 스타트업 키운다",보안뉴스,2019.04.17.,http://www.boannews.com/media/view.asp?idx=78763&kind=
69,SKT-현대차 모빌리티 스타트업 키운다,헤럴드경제,2019.04.16.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=016&aid=0001523563
70,"SKT, ‘월드 IT쇼2019’서 초시대 5G 선보여",넥스트데일리,5일 전,http://www.nextdaily.co.kr/news/article.html?id=20190423800057
71,"SKT,현대차와 모빌리티 스타트업 키운다",이뉴스투데이,2019.04.16.,http://www.enewstoday.co.kr/news/articleView.html?idxno=1291960
72,“엄마에게 전화해줘” SKT ‘누구’만 있으면 무료로 음성통화,디지털데일리,2019.04.07.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=138&aid=0002071878
73,"언제 어디서든 '누구'로 통화···SKT, '누구 콜' 서비스 출시",서울파이낸스,2019.04.07.,http://www.seoulfn.com/news/articleView.html?idxno=338959
74,"SKT, 'T스마트폰 교실' 수강생 2000명 돌파",서울파이낸스,2019.04.14.,http://www.seoulfn.com/news/articleView.html?idxno=339743
75,"SKT, ‘T스마트폰 교실’ 수강 2000명 돌파",FETV,2019.04.14.,http://www.fetv.co.kr/news/article.html?no=25863
76,"SKT-현대차, 모빌리티 스타트업 육성",아시아타임즈,2019.04.16.,http://www.asiatime.co.kr/news/articleView.html?idxno=240190
